"Date","Price","Open","High","Low","Vol.","Change %"
"12/17/2014","166.31","168.47","169.85","165.45","493.31K","-1.44%"
"12/15/2014","168.74","170.12","170.71","168.08","413.25K","-0.77%"
"12/14/2014","170.05","170.71","171.36","169.66","241.76K","-0.69%"
"12/11/2014","171.23","169.39","172.61","169.39","251.94K","-0.61%"
"12/10/2014","172.28","171.36","172.68","169.39","776.78K","0.50%"
"12/09/2014","171.43","172.28","173.33","170.64","699.34K","-0.42%"
"12/08/2014","172.15","170.71","173.01","170.38","660.98K","1.16%"
"12/07/2014","170.18","171.76","172.48","169.39","343.96K","-1.45%"
"12/04/2014","172.68","172.35","173.79","171.69","411.63K","-0.68%"
"12/03/2014","173.86","172.02","174.25","171.36","1.04M","1.46%"
"12/02/2014","171.36","167.49","171.63","167.42","807.87K","2.75%"
"12/01/2014","166.77","165.52","167.75","165.32","347.02K","0.83%"
"11/30/2014","165.39","165.13","165.78","164.86","242.09K","0.40%"
"11/27/2014","164.73","165.45","166.64","164.54","566.78K","-0.68%"
"11/26/2014","165.85","166.11","167.03","165.13","224.39K","-0.12%"
"11/25/2014","166.05","165.52","168.47","165.19","363.12K","0.68%"
"11/24/2014","164.93","168.74","169.20","164.73","1.03M","-2.52%"
"11/23/2014","169.20","170.77","171.30","168.21","457.44K","-0.96%"
"11/20/2014","170.84","171.50","172.02","169.72","516.32K","-0.12%"
"11/19/2014","171.04","171.89","173.53","170.18","409.05K","0.39%"
"11/18/2014","170.38","171.10","172.35","170.05","553.20K","-0.39%"
"11/17/2014","171.04","170.71","173.99","170.25","637.44K","0.12%"
"11/16/2014","170.84","170.77","172.61","170.05","506.39K","0.23%"
"11/13/2014","170.44","173.46","173.99","169.92","519.75K","-1.30%"
"11/12/2014","172.68","169.99","175.63","169.07","768.07K","2.66%"
"11/11/2014","168.21","169.13","170.71","167.75","917.03K","-1.27%"
"11/10/2014","170.38","170.05","172.35","169.79","873.96K","-0.84%"
"11/09/2014","171.82","174.32","175.30","171.04","711.99K","-1.36%"
"11/06/2014","174.19","175.96","177.73","173.86","845.78K","-0.30%"
"11/05/2014","174.71","179.24","179.57","173.66","1.12M","-2.81%"
"11/03/2014","179.77","181.54","181.67","179.64","693.33K","-1.23%"
"11/02/2014","182.00","183.77","185.09","181.41","738.54K","-0.54%"
"10/30/2014","182.99","181.87","183.84","180.95","848.28K","1.09%"
"10/29/2014","181.02","183.18","183.84","180.82","735.80K","-0.90%"
"10/28/2014","182.66","183.84","183.84","182.00","771.96K","-0.71%"
"10/27/2014","183.97","181.80","184.82","181.08","1.46M","1.19%"
"10/26/2014","181.80","181.28","183.51","180.56","899.70K","-0.04%"
"10/23/2014","181.87","183.84","183.84","179.57","881.30K","0.04%"
"10/22/2014","181.80","186.46","186.46","181.21","1.21M","-1.07%"
"10/21/2014","183.77","180.56","185.48","180.10","1.57M","2.60%"
"10/20/2014","179.11","179.05","180.23","176.62","977.91K","0.03%"
"10/19/2014","179.05","183.58","184.50","178.59","1.42M","-2.47%"
"10/16/2014","183.58","188.43","188.43","182.79","1.79M","-1.82%"
"10/15/2014","186.99","185.15","188.89","184.04","2.62M","1.90%"
"10/14/2014","183.51","179.24","183.90","177.27","3.84M","3.67%"
"10/13/2014","177.01","173.99","177.34","173.01","2.04M","1.81%"
"10/12/2014","173.86","173.99","176.88","172.28","1.45M","0.04%"
"10/02/2014","173.79","175.57","177.14","171.17","1.61M","-1.01%"
"10/01/2014","175.57","169.79","178.52","168.28","2.28M","2.61%"
"09/30/2014","171.10","173.79","173.92","167.56","1.55M","-1.51%"
"09/29/2014","173.73","170.64","180.75","169.39","2.65M","4.42%"
"09/28/2014","166.37","154.16","166.37","154.16","2.43M","8.70%"
"09/25/2014","153.05","153.51","154.29","152.13","903.34K","0.65%"
"09/24/2014","152.06","152.65","153.44","151.34","944.63K","0.17%"
"09/23/2014","151.80","152.65","153.77","151.34","761.98K","-0.56%"
"09/22/2014","152.65","155.61","155.61","152.32","630.54K","0.17%"
"09/21/2014","152.39","154.29","154.95","152.26","1.05M","-0.94%"
"09/18/2014","153.83","155.93","156.26","153.44","933.39K","-0.43%"
"09/17/2014","154.49","155.34","156.33","153.96","799.39K","0.34%"
"09/16/2014","153.96","153.64","155.02","152.91","600.52K","0.51%"
"09/15/2014","153.18","153.57","156.26","152.91","770.14K","0.08%"
"09/14/2014","153.05","153.37","154.23","152.39","908.74K","0.30%"
"09/11/2014","152.59","152.98","154.10","152.32","459.83K","0.00%"
"09/10/2014","152.59","154.69","154.75","152.06","1.03M","-0.81%"
"09/09/2014","153.83","153.77","154.95","153.18","477.74K","-0.05%"
"09/08/2014","153.90","156.92","156.92","152.98","469.17K","-0.30%"
"09/07/2014","154.36","156.59","157.25","153.96","436.85K","-0.92%"
"09/04/2014","155.80","158.89","158.89","155.28","450.19K","-0.13%"
"09/03/2014","156.00","157.51","159.55","154.62","650.51K","-0.17%"
"09/02/2014","156.26","150.94","157.12","150.94","530.17K","3.25%"
"09/01/2014","151.34","154.95","154.95","150.75","656.90K","-1.66%"
"08/31/2014","153.90","158.10","158.10","153.24","560.63K","-2.21%"
"08/28/2014","157.38","160.86","160.86","156.59","1.17M","-1.56%"
"08/27/2014","159.87","157.58","162.83","157.58","2.06M","2.23%"
"08/25/2014","156.38","156.43","157.46","155.86","1.84M","-0.39%"
"08/24/2014","157.00","159.29","159.29","155.58","942.17K","-0.25%"
"08/21/2014","157.40","159.23","159.52","156.26","1.72M","-0.83%"
"08/20/2014","158.72","158.72","159.80","157.46","1.49M","0.04%"
"08/19/2014","158.66","157.00","159.86","155.86","1.53M","1.87%"
"08/18/2014","155.75","157.00","157.35","155.52","797.12K","-0.66%"
"08/14/2014","156.78","160.43","160.43","155.41","1.72M","-0.61%"
"08/13/2014","157.75","159.86","161.00","155.35","1.30M","-0.93%"
"08/12/2014","159.23","162.83","164.14","158.15","2.09M","-2.17%"
"08/11/2014","162.77","159.86","163.29","159.75","3.23M","1.93%"
"08/10/2014","159.69","154.15","160.94","154.04","2.69M","3.63%"
"08/07/2014","154.09","153.58","154.44","152.89","1.29M","0.71%"
"08/06/2014","153.01","153.01","153.41","151.30","740.94K","1.25%"
"08/05/2014","151.12","152.95","154.15","149.81","763.25K","-0.45%"
"08/04/2014","151.81","144.44","153.01","144.33","1.50M","5.06%"
"08/03/2014","144.50","144.56","145.59","144.16","527.95K","-0.86%"
"07/24/2014","145.76","143.36","146.04","142.85","743.25K","1.88%"
