"Date","Price","Open","High","Low","Vol.","Change %"
"05/22/2016","4,394.31","4,394.31","4,394.31","4,394.31","","0.03%"
"05/19/2016","4,392.87","4,392.87","4,392.87","4,392.87","","0.65%"
"05/18/2016","4,364.31","4,364.31","4,364.31","4,364.31","","0.87%"
"05/17/2016","4,326.63","4,326.63","4,326.63","4,326.63","","0.89%"
"05/16/2016","4,288.64","4,288.64","4,288.64","4,288.64","","0.31%"
"05/15/2016","4,275.47","4,275.47","4,275.47","4,275.47","","-0.54%"
"05/12/2016","4,298.65","4,298.65","4,298.65","4,298.65","","-0.46%"
"05/11/2016","4,318.44","4,318.44","4,318.44","4,318.44","","-0.27%"
"05/10/2016","4,330.31","4,330.31","4,330.31","4,330.31","","0.02%"
"05/09/2016","4,329.39","4,329.39","4,329.39","4,329.39","","-0.25%"
"05/08/2016","4,340.06","4,340.06","4,340.06","4,340.06","","0.77%"
"05/05/2016","4,306.79","4,306.79","4,306.79","4,306.79","","1.14%"
"05/04/2016","4,258.20","4,258.20","4,258.20","4,258.20","","-0.33%"
"05/03/2016","4,272.17","4,272.17","4,272.17","4,272.17","","2.42%"
"05/02/2016","4,171.40","4,171.40","4,171.40","4,171.40","","-0.58%"
"04/28/2016","4,195.69","4,195.69","4,195.69","4,195.69","","-1.02%"
"04/27/2016","4,238.94","4,238.94","4,238.94","4,238.94","","-1.00%"
"04/26/2016","4,281.93","4,281.93","4,281.93","4,281.93","","-0.92%"
"04/25/2016","4,321.62","4,321.62","4,321.62","4,321.62","","-0.38%"
"04/24/2016","4,338.24","4,338.24","4,338.24","4,338.24","","-0.05%"
"04/21/2016","4,340.34","4,340.34","4,340.34","4,340.34","","-0.44%"
"04/20/2016","4,359.39","4,359.39","4,359.39","4,359.39","","0.04%"
"04/19/2016","4,357.63","4,357.63","4,357.63","4,357.63","","-0.77%"
"04/18/2016","4,391.42","4,391.42","4,391.42","4,391.42","","-0.04%"
"04/17/2016","4,393.34","4,393.34","4,393.34","4,393.34","","-0.35%"
"04/13/2016","4,408.64","4,408.64","4,408.64","4,408.64","","0.03%"
"04/12/2016","4,407.52","4,407.52","4,407.52","4,407.52","","0.13%"
"04/11/2016","4,401.78","4,401.78","4,401.78","4,401.78","","-0.66%"
"04/10/2016","4,431.12","4,431.12","4,431.12","4,431.12","","-0.27%"
"04/07/2016","4,443.06","4,443.06","4,443.06","4,443.06","","0.66%"
"04/06/2016","4,413.85","4,413.85","4,413.85","4,413.85","","0.09%"
"04/05/2016","4,409.72","4,409.72","4,409.72","4,409.72","","-0.49%"
"04/04/2016","4,431.65","4,431.65","4,431.65","4,431.65","","1.20%"
"04/03/2016","4,379.23","4,379.23","4,379.23","4,379.23","","0.50%"
"03/31/2016","4,357.53","4,357.53","4,357.53","4,357.53","","0.51%"
"03/30/2016","4,335.29","4,335.29","4,335.29","4,335.29","","0.54%"
"03/29/2016","4,311.80","4,311.80","4,311.80","4,311.80","","0.21%"
"03/28/2016","4,302.57","4,302.57","4,302.57","4,302.57","","-1.23%"
"03/27/2016","4,355.93","4,355.93","4,355.93","4,355.93","","-0.33%"
"03/24/2016","4,370.49","4,370.49","4,370.49","4,370.49","","-0.24%"
"03/23/2016","4,381.16","4,381.16","4,381.16","4,381.16","","-0.66%"
"03/22/2016","4,410.22","4,410.22","4,410.22","4,410.22","","-0.72%"
"03/21/2016","4,442.15","4,442.15","4,442.15","4,442.15","","0.27%"
"03/20/2016","4,430.28","4,430.28","4,430.28","4,430.28","","-0.36%"
"03/16/2016","4,446.28","4,446.28","4,446.28","4,446.28","","-0.66%"
"03/15/2016","4,475.89","4,475.89","4,475.89","4,475.89","","0.19%"
"03/14/2016","4,467.61","4,467.61","4,467.61","4,467.61","","-0.28%"
"03/13/2016","4,480.18","4,480.18","4,480.18","4,480.18","","-0.10%"
"03/10/2016","4,484.52","4,484.52","4,484.52","4,484.52","","0.60%"
"03/09/2016","4,457.80","4,457.80","4,457.80","4,457.80","","0.09%"
"03/08/2016","4,453.89","4,453.89","4,453.89","4,453.89","","0.23%"
"03/07/2016","4,443.63","4,443.63","4,443.63","4,443.63","","0.18%"
"03/06/2016","4,435.46","4,435.46","4,435.46","4,435.46","","-0.84%"
"03/03/2016","4,472.83","4,472.83","4,472.83","4,472.83","","0.24%"
"03/02/2016","4,462.17","4,462.17","4,462.17","4,462.17","","-0.49%"
"03/01/2016","4,484.03","4,484.03","4,484.03","4,484.03","","-0.62%"
"02/29/2016","4,511.96","4,511.96","4,511.96","4,511.96","","-0.55%"
"02/28/2016","4,536.84","4,536.84","4,536.84","4,536.84","","-0.67%"
"02/25/2016","4,567.56","4,567.56","4,567.56","4,567.56","","-0.26%"
"02/24/2016","4,579.52","4,579.52","4,579.52","4,579.52","","-0.41%"
"02/23/2016","4,598.34","4,598.34","4,598.34","4,598.34","","0.45%"
"02/22/2016","4,577.61","4,577.61","4,577.61","4,577.61","","-0.22%"
"02/18/2016","4,587.66","4,587.66","4,587.66","4,587.66","","0.15%"
"02/17/2016","4,580.79","4,580.79","4,580.79","4,580.79","","0.04%"
"02/16/2016","4,578.85","4,578.85","4,578.85","4,578.85","","-0.14%"
"02/15/2016","4,585.04","4,585.04","4,585.04","4,585.04","","0.10%"
"02/14/2016","4,580.55","4,580.55","4,580.55","4,580.55","","-0.02%"
"02/11/2016","4,581.34","4,581.34","4,581.34","4,581.34","","0.17%"
"02/10/2016","4,573.42","4,573.42","4,573.42","4,573.42","","0.07%"
"02/09/2016","4,570.01","4,570.01","4,570.01","4,570.01","","0.20%"
